nombre/0,precio/0,descripcion/0,caracteristicas/0/Marca,caracteristicas/0/Modelo,caracteristicas/0/Año,caracteristicas/0/Color,caracteristicas/0/Tipo de combustible,caracteristicas/0/Kilómetros,caracteristicas/0/Puertas,caracteristicas/0/Transmisión,caracteristicas/0/Motor,caracteristicas/0/Tipo de carrocería
Chevrolet Suburban 2020 5.3 V8 Lt Premier 4wd At (d),"1,150,000","CHEVROLET SEMINUEVOS DELTA¡¡Tenemos el plan a tu medida!!Plan de financiamiento con GMF Contamos con los mejores autos seminuevos garantizados.Financiamos con las tasas más bajas.                                                   Aprobación en tan solo 3 horas, presentando INE y solicitud. Si lo requieres sin comprobar ingresos con un mínimo del 25% ($0.00)                      Tomamos tu moto o auto a cuenta sin importar que sigan en financiamiento             Somos agencia, refacturamos a tu nombre                                                    Te entregamos tu auto en toda la república                                                Garantía por escrito en motor y transmisión de 90 días IM-05fdf",Chevrolet,Suburban,2020,Blanco,Gasolina,55981 km,5,Automática,5.3,SUV
"Honda Odyssey 4x2 5 Pts Lx, Ta, A/ac, Cd, F Halogeno, Ra-17","340,000","BIENVENIDOS A DALTON SEMINUEVOS. En Dalton todos nuestros autos pasan por una inspeccion realizada por nuestros expertos para brindarte la seguridad al momento de comprar tu seminuevo en DALTON. Tomamos autos a cuenta con los precios mas competitivos del mercado, todas nuestras unidades tienen garantia de 90 dias en motor y transmision.Contamos con planes de financiamiento.",Honda,Odyssey,2016,Plata,Gasolina,146442 km,5,,,
Honda Fit 2016 1.5 Cool Mt,"202,000","NISSAN IZTACALCO SEMINUEVOSTENEMOS LOS MEJORES SEMINUEVOS DEL MERCADO, VARIEDAD DE MARCAS, CONTAMOS CON LOS MEJORES PLANES DE FINANCIAMIENTO DEL MERCADO DESDE EL 15% DE ENGANCHE Y HASTA 60 MESES.APROBACIÓN DE CRÉDITO EN SOLO 15 MIN ÚNICAMENTE PRESENTANDO IDENTIFICACIÓN OFICIAL Y ESTADOS DE CUENTACONTAMOS CON PLANES DE FINANCIAMIENTO SIN COMPROBAR INGRESOS DESDE 20% DE ENGANCHE O COMPROBANDO INGRESOS DESDE EL 15% DE ENGANCHE DEPENDIENDO AÑO DEL AUTOMÓVIL.DAMOS GARANTÍA POR ESCRITO, LEGALIDAD EN TODOS LOS DOCUMENTOS, NO ARRIESGUES TU PATRIMONIOCOMUNÍCATE Y TE ASESORAMOS PERSONALMENTE, AGENDA CITA POR WHATS APPTE ESPERA TU NUEVO AUTO SEMINUEVO IM-cdc7b",Honda,Fit,2016,Agua,Gasolina,72000 km,5,Manual,1.5,Hatchback
Dodge Journey 2017 2.4 Sxt Lujo Piel 7 Pasajeros At,"329,000","NISSAN IZTACALCO SEMINUEVOSTENEMOS LOS MEJORES SEMINUEVOS DEL MERCADO, VARIEDAD DE MARCAS, CONTAMOS CON LOS MEJORES PLANES DE FINANCIAMIENTO DEL MERCADO DESDE EL 15% DE ENGANCHE Y HASTA 60 MESES.APROBACIÓN DE CRÉDITO EN SOLO 15 MIN ÚNICAMENTE PRESENTANDO IDENTIFICACIÓN OFICIAL Y ESTADOS DE CUENTACONTAMOS CON PLANES DE FINANCIAMIENTO SIN COMPROBAR INGRESOS DESDE 20% DE ENGANCHE O COMPROBANDO INGRESOS DESDE EL 15% DE ENGANCHE DEPENDIENDO AÑO DEL AUTOMÓVIL.DAMOS GARANTÍA POR ESCRITO, LEGALIDAD EN TODOS LOS DOCUMENTOS, NO ARRIESGUES TU PATRIMONIOCOMUNÍCATE Y TE ASESORAMOS PERSONALMENTE, AGENDA CITA POR WHATS APPTE ESPERA TU NUEVO AUTO SEMINUEVO IM-a3a30",Dodge,Journey,2017,Agua,Gasolina,95000 km,5,Automática,2.4,SUV
Nissan Kicks 2019 1.6 Exclusive At,"376,000","NISSAN IZTACALCO SEMINUEVOSTENEMOS LOS MEJORES SEMINUEVOS DEL MERCADO, VARIEDAD DE MARCAS, CONTAMOS CON LOS MEJORES PLANES DE FINANCIAMIENTO DEL MERCADO DESDE EL 15% DE ENGANCHE Y HASTA 60 MESES.APROBACIÓN DE CRÉDITO EN SOLO 15 MIN ÚNICAMENTE PRESENTANDO IDENTIFICACIÓN OFICIAL Y ESTADOS DE CUENTACONTAMOS CON PLANES DE FINANCIAMIENTO SIN COMPROBAR INGRESOS DESDE 20% DE ENGANCHE O COMPROBANDO INGRESOS DESDE EL 15% DE ENGANCHE DEPENDIENDO AÑO DEL AUTOMÓVIL.DAMOS GARANTÍA POR ESCRITO, LEGALIDAD EN TODOS LOS DOCUMENTOS, NO ARRIESGUES TU PATRIMONIOCOMUNÍCATE Y TE ASESORAMOS PERSONALMENTE, AGENDA CITA POR WHATS APPTE ESPERA TU NUEVO AUTO SEMINUEVO IM-3fe13",Nissan,Kicks,2019,Amarillo,Gasolina,47000 km,5,Automática,1.6,SUV
Renault Koleos 2020 2.5 Iconic Piel Cvt,"499,000","NISSAN IZTACALCO SEMINUEVOSTENEMOS LOS MEJORES SEMINUEVOS DEL MERCADO, VARIEDAD DE MARCAS, CONTAMOS CON LOS MEJORES PLANES DE FINANCIAMIENTO DEL MERCADO DESDE EL 15% DE ENGANCHE Y HASTA 60 MESES.APROBACIÓN DE CRÉDITO EN SOLO 15 MIN ÚNICAMENTE PRESENTANDO IDENTIFICACIÓN OFICIAL Y ESTADOS DE CUENTACONTAMOS CON PLANES DE FINANCIAMIENTO SIN COMPROBAR INGRESOS DESDE 20% DE ENGANCHE O COMPROBANDO INGRESOS DESDE EL 15% DE ENGANCHE DEPENDIENDO AÑO DEL AUTOMÓVIL.DAMOS GARANTÍA POR ESCRITO, LEGALIDAD EN TODOS LOS DOCUMENTOS, NO ARRIESGUES TU PATRIMONIOCOMUNÍCATE Y TE ASESORAMOS PERSONALMENTE, AGENDA CITA POR WHATS APPTE ESPERA TU NUEVO AUTO SEMINUEVO IM-dfa60",Renault,Koleos,2020,Agua,Gasolina,47800 km,5,Automática,2.5,SUV
Nissan March 2020 1.6 Advance Mt,"220,000","NISSAN IZTACALCO SEMINUEVOSTENEMOS LOS MEJORES SEMINUEVOS DEL MERCADO, VARIEDAD DE MARCAS, CONTAMOS CON LOS MEJORES PLANES DE FINANCIAMIENTO DEL MERCADO DESDE EL 15% DE ENGANCHE Y HASTA 60 MESES.APROBACIÓN DE CRÉDITO EN SOLO 15 MIN ÚNICAMENTE PRESENTANDO IDENTIFICACIÓN OFICIAL Y ESTADOS DE CUENTACONTAMOS CON PLANES DE FINANCIAMIENTO SIN COMPROBAR INGRESOS DESDE 20% DE ENGANCHE O COMPROBANDO INGRESOS DESDE EL 15% DE ENGANCHE DEPENDIENDO AÑO DEL AUTOMÓVIL.DAMOS GARANTÍA POR ESCRITO, LEGALIDAD EN TODOS LOS DOCUMENTOS, NO ARRIESGUES TU PATRIMONIOCOMUNÍCATE Y TE ASESORAMOS PERSONALMENTE, AGENDA CITA POR WHATS APPTE ESPERA TU NUEVO AUTO SEMINUEVO IM-56faa",Nissan,March,2020,Amarillo,Gasolina,20000 km,5,Manual,1.6,Hatchback
Toyota Prius 2017 1.8 Base Hibrido At,"315,000","NISSAN IZTACALCO SEMINUEVOSTENEMOS LOS MEJORES SEMINUEVOS DEL MERCADO, VARIEDAD DE MARCAS, CONTAMOS CON LOS MEJORES PLANES DE FINANCIAMIENTO DEL MERCADO DESDE EL 15% DE ENGANCHE Y HASTA 60 MESES.APROBACIÓN DE CRÉDITO EN SOLO 15 MIN ÚNICAMENTE PRESENTANDO IDENTIFICACIÓN OFICIAL Y ESTADOS DE CUENTACONTAMOS CON PLANES DE FINANCIAMIENTO SIN COMPROBAR INGRESOS DESDE 20% DE ENGANCHE O COMPROBANDO INGRESOS DESDE EL 15% DE ENGANCHE DEPENDIENDO AÑO DEL AUTOMÓVIL.DAMOS GARANTÍA POR ESCRITO, LEGALIDAD EN TODOS LOS DOCUMENTOS, NO ARRIESGUES TU PATRIMONIOCOMUNÍCATE Y TE ASESORAMOS PERSONALMENTE, AGENDA CITA POR WHATS APPTE ESPERA TU NUEVO AUTO SEMINUEVO IM-b5cfb",Toyota,Prius,2017,Negro,Híbrido,110000 km,4,Automática,1.8,Sedán
Honda City 2020 1.5 Ex Cvt,"369,000","Si desea información para este vehículo, llame, envié un WhatsApp o complete el formulario de consulta con sus datos correctos. Un miembro de nuestro equipo le enviará de inmediato una cotización personalizada por escrito. También podemos proporcionarle información de nuestras distintas formas de pago: financiamiento bancario, pago de contado y toma de autos a cuenta.¿Necesitas financiamiento? Podemos ayudarlo a encontrar las mejores opciones¡Trabajamos con todos los tipos de crédito!¡Todos nuestros autos son garantizados y cuentan con toda la documentación en regla!¡Todas nuestras unidades están sanitizadas y listas para su entrega! IM-36adc",Honda,City,2020,Rojo,Gasolina,29776 km,4,Automática,1.5,Sedán
Honda City 2017 1.5 Ex Cvt,"270,000","CITY EX CVT 2017 ACERO- Transmisión Automática- Aire Acondicionado con Panel de Control Touch-Screen de Clima Automático y Sistema de Filtración de Aire- Bolsas de Aire Frontales (SRS) para Conductor y Copiloto- Cierre de Seguros Automático Sensible a la Velocidad- Sistema Antibloqueo de Frenos (ABS) en las 4 Ruedas- Control de Audio en el Volante- Volante Forrado de Piel- Interfaz HandsFreelink para Teléfonos Móviles con Tecnología Bluettoth- Faros de Halógeno con Función de Auto-Apagado- Barras de Acero de Protección en Puertas- Vidrios Tintados con Protección UV¿No puedes venir? Le llevo su unidad a su oficina o casa. No se arriesgue somos agencia, facturo a su nombre, acepto auto a cuenta, No olvide proporcionar un número para ponernos en contacto. (consulte con su asesor).(SOLO EN CDMX) IM-28d81",Honda,City,2017,Gris oscuro,Gasolina,61844 km,4,Automática,1.5,Sedán
Honda Hr-v 2016 1.8 Uniq Cvt,"289,000","Si desea información para este vehículo, llame, envié un WhatsApp o complete el formulario de consulta con sus datos correctos. Un miembro de nuestro equipo le enviará de inmediato una cotización personalizada por escrito. También podemos proporcionarle información de nuestras distintas formas de pago: financiamiento bancario, pago de contado y toma de autos a cuenta.¿Necesitas financiamiento? Podemos ayudarlo a encontrar las mejores opciones¡Trabajamos con todos los tipos de crédito!¡Todos nuestros autos son garantizados y cuentan con toda la documentación en regla!¡Todas nuestras unidades están sanitizadas y listas para su entrega! IM-b63d5",Honda,HR-V,2016,Rojo,Gasolina,101757 km,5,Automática,1.8,SUV
Audi A3 2019 2.0 S Line 4p At,"517,000","Si desea información para este vehículo, llame, envié un WhatsApp o complete el formulario de consulta con sus datos correctos. Un miembro de nuestro equipo le enviará de inmediato una cotización personalizada por escrito. También podemos proporcionarle información de nuestras distintas formas de pago: financiamiento bancario, pago de contado y toma de autos a cuenta.¿Necesitas financiamiento? Podemos ayudarlo a encontrar las mejores opciones¡Trabajamos con todos los tipos de crédito!¡Todos nuestros autos son garantizados y cuentan con toda la documentación en regla!¡Todas nuestras unidades están sanitizadas y listas para su entrega! IM-f1b34",Audi,A3,2019,Blanco,Gasolina,85288 km,4,Automática,2.0,Sedán
Kia Soul 2020 2.0 Ex At,"383,000","Somos Kia Tláhuac contamos con todas las opciones de créditoContamos con las mejores promociones de crédito o contado, tasa de interés baja y en algunos casos comisión por apertura 0 IM-5fbc6",Kia,Soul,2020,Azul acero,Gasolina,26405 km,5,Automática,2,Hatchback
Chevrolet Sonic 2015 1.6 Lt At Sedán,"173,000","Somos Kia Tláhuac contamos con todas las opciones de créditoContamos con las mejores promociones de crédito o contado, tasa de interés baja y en algunos casos comisión por apertura 0 IM-0df7b",Chevrolet,Sonic,2015,Rojo,Gasolina,125500 km,4,Automática,1.6,Sedán
Honda Accord 2014 3.5 V6 Ex Coupe Piel At,"260,000","ACCORD EX/V6 COUPE 2014 NEGRO- Transmisión Automática de 6 Velocidades- Sistema de Aceleración Eléctronica Drive By Wire- Tapizado de Cuero Microperforado - Sistema de Acceso Inteligente sin llave (Smart Entry Keyless)- Pantalla Multifunción con Información Múltiple de 8”- Sistema de Audio con Pantalla Táctil: Radio AM/FM, Reproductor de CD, con Capacidad para Reproducir Archivos MP3/WMA - Comandos de Audio al Volante- Estructura de la Carrocería con Ingenieria de Compativilidad Avanzada- Bolsas de Aire Delanteras, Laterales- Quemacocos¿No puedes venir? Le llevo su unidad a su oficina o casa. No se arriesgue somos agencia, facturo a su nombre, acepto auto a cuenta, No olvide proporcionar un número para ponernos en contacto. (consulte con su asesor).(SOLO EN CDMX) IM-7359f",Honda,Accord,2014,Negro,Gasolina,117890 km,2,Automática,3.0,Coupé
Mitsubishi L200 2017 2.5 Di-d Cabina Doble 4x4 Mt,"375,000","¡Somos su mejor opción de Compra!Tu Agencia de confianza Chevrolet Azcapotzalco Seminuevos te invita a conocer:++Los mejores planes de financiamiento.++Plazos desde 12 hasta 60 meses (aplica restricciones).++Aprobación de Crédito con Mínimos Requisitos de Crédito.++Garantía por escrito ++Facturamos a su Nombre.++Tomamos tu auto a cuenta ++Todas nuestras unidades cuentan con un estricto proceso de revisión mecánica al momento de la compra, y antes de ser entregados.++¡¡Pide tu prueba de manejo y cotización sin compromiso!! IM-1b485",Mitsubishi,L200,2017,Blanco,Diésel,84618 km,4,Manual,2.5,Pick-Up
Honda Fit 2019 1.5 Hit Cvt,"305,000","HONDA FIT HIT 2019*Motor 1.5 litros con 130 HP.*Sistema Eco Assist.*Bolsas de aire.*Frenos ABS.*Display de 7´´ HD.*Android auto- Apple Carplay*Vidrios, seguros y espejos eléctricos.*Faros de niebla.*Rines*Alerón trasero*Control de velocidad crucero *control de audio al volante ¡Contamos con un año de garantia en tren motor y transmisión. Además, tomamos tu auto a cuenta!¡Contamos con planes de financiamiento a tu medida. Desde 12 y, hasta 60 meses! *Consultando con asesor.¡Reestrena lo, esta es tu gran oportunidad! Contamos con los mejores vehículos HONDA y multimarca del mercado. SOMOS AGENCIA HONDA SATELITE! IM-11018",Honda,Fit,2019,Gris,Gasolina,48759 km,5,Automática,1.5,Hatchback
Chevrolet Sonic 2017 1.6 Lt At,"203,000","Distribuidor Chevrolet Aguinaco. Ubicado en Av. Lomas Verdes, Naucalpan. Tenemos un gran inventario a su disposición. Contamos con diferentes tipos de financiamiento desde el 10% y plazos hasta 60 meses*, facturamos a tu nombre , toma a cuenta de unidades, garantía por escrito, confianza y seguridad total. IM-b61f2",Chevrolet,Sonic,2017,Negro,Gasolina,85100 km,4,Automática,1.6,Sedán
Nissan Sentra 2016 1.8 Advance Mt,"207,000","SENTRA ADVANCE TM 2016*Motor 1.8L 4 Cilindros con 129 HP.*Transmisión manual de 6 velocidades*Airbags piloto y copiloto.*Vidrios, espejos y seguros eléctricos.*Radio con entrada auxiliar/ CD/ MP3/ Bluetooth.*Computadora de manejo.*Llave inteligente.*Volante regulable en altura y profundidad.¡Contamos con un año de garantia en tren motor y transmisión. Además, tomamos tu auto a cuenta!¡Contamos con planes de financiamiento a tu medida. Desde 12 y, hasta 60 meses! *Consultando con asesor.¡Reestrena lo, esta es tu gran oportunidad! Contamos con los mejores vehículos HONDA y multimarca del mercado. SOMOS AGENCIA HONDA SATELITE! IM-a36c0",Nissan,Sentra,2016,Gris oscuro,Gasolina,86145 km,4,Manual,1.8,Sedán
Volkswagen Jetta Clásico 2013 2.0 Cl 5vel Aa Mt,"168,000","Este vehículo es certificadoTransmision Manual Apertura remota de cajuela Aire acondicionado Espejos regulables desde el interior Entrada USB y Aux Seguros electricos Financiamiento Conexión Bluetooth Somos una agencia automotriz con más de 30 años de experiencia establecida en Guadalajara, México. Nos dedicamos a la venta de vehículos seminuevos de distintas marcas, ofreciendo hasta 3 años de garantía, siendo la única agencia con Alianza por medio de Scotiabank. IM-429b9",Volkswagen,Jetta Clásico,2013,Plateado,Gasolina,95181 km,4,Manual,2.0,Sedán
Nissan Versa 2019 1.6 Sense Mt,"235,000","¿Y si te vamos prendiendo el motor?Ahora es tu oportunidad de estrenar auto con #ChevroletSolValleDoradoEl Nissan Versa 2019 cuenta con:»Cristales eléctricos con apertura de un solo toque para conductor.»Sistema de audio con volumen sensible a la velocidad de 4 bocinas.»Controles de audio y velocidad crucero al volante.»Llave inteligente con botón de encendido.»Sistema de Frenado Antibloqueo (ABS).Nosotros aseguramos tu inversión, ¡¡llévatelo con GARANTÍA de 90 días!!40 Años de EXPERIENCIA nos respaldan. IM-e425f",Nissan,Versa,2019,Blanco,Gasolina,75956 km,4,Manual,1.6,Sedán
Seat Altea 2015 1.8t Altea Style Xl,"215,000","ALTEA XL 1.8 TSI 2015 BLANCO- Transmisión Automática - Elevedores Eléctricos con Función “OneTouch”- Radio AM/FM/CD/MP3 con Controles en el Volante y 8 Bocinas- Faros de Niebla con Función “Cornering Lights”- Barras Porta Equipaje- Volante Multifunción- Bolsas de Aire Frontales, Laterales y Tipo Cortina- Dirección Asistida Electromecánica- Motor de 1.8 Litros Turbo de 4 Cilindros¿No puedes venir? Le llevo su unidad a su oficina o casa. No se arriesgue somos agencia, facturo a su nombre, acepto auto a cuenta, No olvide proporcionar un número para ponernos en contacto. (consulte con su asesor).(SOLO EN CDMX) IM-be52c",SEAT,Altea,2015,Blanco,Gasolina,87479 km,4,Automática,1.8,Van
Honda Hr-v 2021 1.8 Prime Cvt,"479,000","Si desea información para este vehículo, llame, envié un WhatsApp o complete el formulario de consulta con sus datos correctos. Un miembro de nuestro equipo le enviará de inmediato una cotización personalizada por escrito. También podemos proporcionarle información de nuestras distintas formas de pago: financiamiento bancario, pago de contado y toma de autos a cuenta.¿Necesitas financiamiento? Podemos ayudarlo a encontrar las mejores opciones¡Trabajamos con todos los tipos de crédito!¡Todos nuestros autos son garantizados y cuentan con toda la documentación en regla!¡Todas nuestras unidades están sanitizadas y listas para su entrega! IM-bf8f4",Honda,HR-V,2021,Negro,Gasolina,33592 km,5,Automática,1.8,SUV
Honda Civic 2014 1.8 Ex Sedan At,"232,000","CIVIC EX 2014 *Motor 4 CIL 1.8 Lt. Con 140 HP.*Transmisión automática de 5 velocidades.*Asistente de estabilidad.*Rines de alumino 16 pulgadas.*Bolsas de aire frontales y laterales tipo cortina.*Quemacocos *Pantalla inteligente multifunción.*HANDSFREELINK BLUETOOTH¡Contamos con un año de garantia en tren motor y transmisión. Además, tomamos tu auto a cuenta!¡Contamos con planes de financiamiento a tu medida. Desde 12 y, hasta 60 meses! *Consultando con asesor.¡Reestrena lo, esta es tu gran oportunidad! Contamos con los mejores vehículos HONDA y multimarca del mercado. SOMOS AGENCIA HONDA SATELITE! IM-bc5cf",Honda,Civic,2014,Blanco,Gasolina,79918 km,2,Automática,1.8,Sedán
Volkswagen Polo 2021 1.6 L4 Design & Sound Tiptronic At,"310,000","Das Welt Auto Monarquia Vehículo Certificado Te damos 2 años de garantía o 60,000 Kms más de lo que tiene¡NO TE ARRIESGUES! Tomamos tu auto a cuenta, cualquier marca , año y modelo Pregunta por nuestros Planes de Financiamiento que van desde un 20% de enganche y plazos hasta 48 meses, PREGUNTA POR PREMIUM CREDIT (la mejor manera de cambiar constantemente tu auto)Contamos con Planes Arrendamiento PuroAgenda tu Prueba de manejo Apártalo ¡Qué no te lo ganen!LIQUIDAMOS SU CREDITO (VIGENTE) PARA QUE VUELVA A ESTRENAR IM-080ec",Volkswagen,Polo,2021,Rojo,Gasolina,18069 km,5,Automática,1.6,Hatchback
Toyota Corolla 2021 1.8 Le At,"409,900","CHEVROLET CARSOL LAS FUENTES SEMINUEVOS CERTIFICADOS, NO COMPRES RIESGOS ADQUIERE TU AUTO SEMINUEVO CON NOSOTROS , SEGURIDAD Y CONFIANZA, PREGUNTA POR NUESTROS PLANES DE CREDITO, HASTA 60 MESES Y DESDE 10% DE ENGANCHE, AUTOS CON GARANTÍA HASTA DE 24 MESES, TODOS NUESTROS AUTOS PASAN POR UNA REVISIÓN DE 100 PUNTOS POR LO QUE ESTARÁS SEGURO DE LLEVARTE UN AUTO SEMINUEVO EN LAS MEJORES CONDICIONES DEL MERCADO. IM-f44c3",Toyota,Corolla,2021,Plateado,Gasolina,51706 km,4,Automática,1.8,Sedán
Toyota Camry 2019 2.5 Xle At,"465,800","SIÉNTETE EN CONFIANZA DE COMPRAR CON NOSOTROS, ¡SOMOS AGENCIA NISSAN! -ESTUPENDA OPORTUNIDAD DE ESTRENAR AUTO -GARANTÍA POR ESCRITO -FACTURACIÓN A TU NOMBRE -CRÉDITO DESDE EL 20% DE ENGANCHE HASTA 60 MESES -¿NO CUENTAS CON COMPROBANTES DE INGRESOS? ... TENEMOS UN PLAN PARA TI ... -TOMAMOS TU AUTO A CUENTA AUNQUE LO DEBAS **MAS INFORMACIÓN AL NUMERO 55 84 09 3501 **  IM-51854",Toyota,Camry,2019,Rojo,Gasolina,36797 km,4,Automática,2.5,Sedán
Jeep Wrangler 2014 3.6 V6 Unlimited Sahara 4x4 At,"530,000","WRANGLER UNLIMITED SAHARA 2014 NEGRO- Transmisión Automática 5 Velocidades- Faros Antiniebla y Faros de Halógeno- Control Eléctronico de Estabilidad- Asiento Trasero Abatible 40/60- Radio Media Center 431 CD/DVD con MP3/WMA y Pantalla Táctil    de 6.5”- 7 Altavoces con Subwoofer- Rueda de Repuesto del Mismo Tamaño- Cristales Delanteros y Traseros Eléctricos- Volante con comando de Audio - Aire Acondicionado- Brújula¿No puedes venir? Le llevo su unidad a su oficina o casa. No se arriesgue somos agencia, facturo a su nombre, acepto auto a cuenta, No olvide proporcionar un número para ponernos en contacto. (consulte con su asesor).(SOLO EN CDMX) IM-67341",Jeep,Wrangler,2014,Negro,Gasolina,82591 km,5,Automática,3.8,SUV
Mitsubishi Outlander 2013 2.4 Xls At,"229,000","Este vehículo es certificadoTransmision Automática Quemacocos Conexión Bluetooth Controles al volante Control crucero Volante forrado en piel Espejos eléctricos Seguros eléctricos Espejos eléctricos Somos una agencia automotriz con más de 30 años de experiencia establecida en Guadalajara, México. Nos dedicamos a la venta de vehículos seminuevos de distintas marcas, ofreciendo hasta 3 años de garantía, siendo la única agencia con Alianza por medio de Scotiabank. IM-1ee28",Mitsubishi,Outlander,2013,Gris,Gasolina,103800 km,5,Automática,2.4,SUV
Mazda Cx-5 2019 2.0 I Grand Touring At,"453,000","Somos Kia Tláhuac contamos con todas las opciones de créditoContamos con las mejores promociones de crédito o contado, tasa de interés baja y en algunos casos comisión por apertura 0 IM-85570",Mazda,CX-5,2019,Azul,Gasolina,72270 km,5,Automática,2.0,SUV
Volkswagen T-cross 2020 1.6 Comfortline Triptonic At,"425,000","Somos Grupo Continental, le ofrecemos Atención, Calidad y Servicio. Pregunta por nuestros planes de Financiamiento IM-b7b68",Volkswagen,T-Cross,2020,Plateado,Gasolina,21500 km,5,Automática,1.6,SUV
Honda Accord 2020 1.5 L4 Sport Plus Piel Cvt ,"588,000","Si desea información para este vehículo, llame, envié un WhatsApp o complete el formulario de consulta con sus datos correctos. Un miembro de nuestro equipo le enviará de inmediato una cotización personalizada por escrito. También podemos proporcionarle información de nuestras distintas formas de pago: financiamiento bancario, pago de contado y toma de autos a cuenta.¿Necesitas financiamiento? Podemos ayudarlo a encontrar las mejores opciones¡Trabajamos con todos los tipos de crédito!¡Todos nuestros autos son garantizados y cuentan con toda la documentación en regla!¡Todas nuestras unidades están sanitizadas y listas para su entrega! IM-b265d",Honda,Accord,2020,Rojo,Gasolina,21502 km,4,Automática,1.5,Sedán
Honda Cr-v 2016 2.4 I-style At,"364,000","Si desea información para este vehículo, llame, envié un WhatsApp o complete el formulario de consulta con sus datos correctos. Un miembro de nuestro equipo le enviará de inmediato una cotización personalizada por escrito. También podemos proporcionarle información de nuestras distintas formas de pago: financiamiento bancario, pago de contado y toma de autos a cuenta.¿Necesitas financiamiento? Podemos ayudarlo a encontrar las mejores opciones¡Trabajamos con todos los tipos de crédito!¡Todos nuestros autos son garantizados y cuentan con toda la documentación en regla!¡Todas nuestras unidades están sanitizadas y listas para su entrega! IM-51fb4",Honda,CR-V,2016,Gris oscuro,Gasolina,61660 km,5,Automática,2.4,SUV
Toyota Rav4 2010 3.5 V6 Sport Piel At,"219,000","Si desea información para este vehículo, llame, envié un WhatsApp o complete el formulario de consulta con sus datos correctos. Un miembro de nuestro equipo le enviará de inmediato una cotización personalizada por escrito. También podemos proporcionarle información de nuestras distintas formas de pago: financiamiento bancario, pago de contado y toma de autos a cuenta.¿Necesitas financiamiento? Podemos ayudarlo a encontrar las mejores opciones¡Trabajamos con todos los tipos de crédito!¡Todos nuestros autos son garantizados y cuentan con toda la documentación en regla!¡Todas nuestras unidades están sanitizadas y listas para su entrega! IM-701e0",Toyota,RAV4,2010,Blanco,Gasolina,109866 km,5,Automática,3.5,SUV
Volkswagen Jetta 2013 2.5 Style At,"177,000","JETTA STYLE 2013*Motor 2.5 Lt. Con 170 HP.*Aire acondicionado.* Vidrios y seguros eléctricos.*Frenos traseros y delanteros de disco.*Tracción delantera.*Seguros para niños en puertas traseras.*Bolsas de aire frontales.* Radio con entrada auxiliar/ bluetooh/ CD/ MP3.¡PAGO ÚNICAMNETE DE CONTADO!¡Reestrena lo, esta es tu gran oportunidad! Contamos con los mejores vehículos HONDA y multimarca del mercado. SOMOS AGENCIA, HONDA SATELITE! IM-d2909",Volkswagen,Jetta,2013,Café,Gasolina,122715 km,4,Automática,2.5,Sedán
Ram Promaster 2020 3.7 2500 11.5,"505,500","CHEVROLET IZTACALCO SEMINUEVOS CERTIFICADOS¡Contamos con nuestras Instalaciones sanitizadas! Aquí encontraras planes de crédito con distintas alternativas y beneficios con nuestra financiera GMF. Con un mínimo de enganche y distintos plazos, de cuerdo al año del auto.El auto se factura a tu nombre.Garantía de 90 días o 3 mil kms. en motor y transmisión o extiéndela hasta 1 año con un precio especial.Ven y realiza tu prueba de manejo o te lo llevamos a tu domicilio.Compramos o tomamos a cuenta tu auto, pagamos en 36 horas ¡Avaluó gratis a domicilio, en el área metropolitana! Todos los pagos, anticipos y tramites relacionados, son directamente en nuestras instalaciones o cuentas de la empresa, Iztacalco Motors, S.A. de C.V.  IM-4c314",RAM,Promaster,2020,Blanco,Gasolina,42500 km,4,Automática,3.7,Van
Ram Promaster 2020 3.7 2500 11.5,"509,500","BIENVENIDOS CHEVROLET IZTACALCO SEMINUEVOS CERTIFICADOS¡Contamos con nuestras Instalaciones sanitizadas! DISTRIBUIDOR AUTORIZADO DE GM-Garantía de 90 días o hasta un año c/n costo adicional -Factura a su nombre -llévatelo a crédito o de contado con nuestra financiera GM desde 25% de enganche y hasta 48 meses-TOMAMOS TU AUTO A CUENTA Todos los pagos, anticipos y trámites relacionados, son directamente en nuestras instalaciones o cuentas de la empresa, Iztacalco Motors, S.A. de C.V.Instagram: chevroletiztacalcosemi IM-e78b3",RAM,Promaster,2020,Blanco,Gasolina,42500 km,4,Automática,3.7,Van
Chevrolet Cavalier 2022 1.3 Rs Turbo At,"420,000","Si lo que buscas es autos Seminuevos o usados ven a Chevrolet del Rio donde encontrarás un gran inventario de vehículos Multimarca que te sorprenderá por sus excelentes precios. Además contamos con coches Seminuevos Certificados, con garantía, lo cual te da la certidumbre de hacer una buena inversión.Recuerda que tomamos tu auto a cuenta, para que te lleves el Chevrolet nuevo que deseas.Conoce nuestro inventario de autos y camionetas Seminuevos. IM-1e0c0",Chevrolet,Cavalier,2022,Rojo,Gasolina,10687 km,4,Automática,3 CIL 1.3L,Sedán
